id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
nootka011,densmore-nootka,0.0.1,Song in the Canoes,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,60,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,73,11,,1323,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=125,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_11_Song_in_the_Canoes.krn,kern,,22f84a1be968c0ca39e2752a109b7968,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""60"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continous quarters,,,,
nootka012,densmore-nootka,0.0.1,Song of Invitation to a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,54,1.0,2/4|5/8|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,74,12,,1322,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=126,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_12_Song_of_Invitation_to_a_Potlatch.krn,kern,,060aa30538bdc52bc86de797cf3b72b4,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""54"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continous quarters,,,,
nootka013,densmore-nootka,0.0.1,Song of the Guests in Their Canoes,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,,,Quinaelt,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,120|84,1.0,3/4|2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,75,13,,1504,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=127,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_13_Song_of_the_Guests_in_Their_Canoes.krn,kern,,35d6dfef763a08757932da7d58abca76,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""120|84"", ""meta.bpm_drum"": 84.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continuous eigth-notes|The drum and voice use different tempi,,,,
nootka014,densmore-nootka,0.0.1,Song of a Guest at a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,72,1.0,2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,76,14,,1324,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=128,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_14_Song_of_a_Guest_at_a_Potlatch.krn,kern,,7b70257f87e35132c902ba01cbc6b519,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""72"", ""meta.bpm_drum"": 84.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}","Drum rhythm: continous quarters|The drum and voice use different tempi: voice=72, drum=84",,,,
nootka015,densmore-nootka,0.0.1,Song of the Kwikwatla Dance,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,66,1.0,2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,77,15,,1325,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=129,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__15_Song_of_the_Kwikwatla_Dance.krn,kern,,255de74ab373a5221e739c3c172b0246,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""66"", ""meta.bpm_drum"": 66.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}","Drum rhythm: continous quarters|""It was accompanied by pounding with sticks on a large box, this being done by the assembly""",,,,
nootka016,densmore-nootka,0.0.1,Song of the Host at a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum,True,True,True,,,,63,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,78,16,,1326,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=130,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__16_Song_of_the_Host_at_a_Potlatch.krn,kern,,4a5289eee31cdefceddf93836e9135b2,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""63"", ""meta.bpm_drum"": 63.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continous quarters,,,,
nootka017,densmore-nootka,0.0.1,Song Before Distribution of Gifts (a),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum|clapping,True,True,True,,,,69,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,79,17,,1320,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=131,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_17_Song_Before_Distribution_of_Gifts_(a).krn,kern,,6b637172e9531c021280589b5abd57b6,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""69"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}","On the previous page, Densmore writes that ""the next two songs [...] are accompanied by a rapid beating of sticks on plancks, and the dancers clapped their hands sharply at the accented tones of the song""",,,,"I am wealthy, that is why I am singing"
nootka018,densmore-nootka,0.0.1,Song Before Distribution of Gifts (b),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice|drum|clapping,True,True,True,,,,80,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,80,18,,1321,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=132,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_18_Song_Before_Distribution_of_Gifts_(b).krn,kern,,cc6d16c091a25632c655331131bf3ae6,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""80"", ""meta.bpm_drum"": 80.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}","Drum rhythm: continous eight-notes|On the previous page, Densmore writes that ""the next two songs [...] are accompanied by a rapid beating of sticks on plancks, and the dancers clapped their hands sharply at the accented tones of the song""",,,,It is I who am dancing
nootka019,densmore-nootka,0.0.1,"""Mine is a Proud Village""",,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Mrs. Helen Irving,female,voice|drum,True,True,True,,,,56,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,81,19,,1399,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=133,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_19_""Mine_is_a_Proud_Village"".krn",kern,,28d00f7bab8d95f24d9baad9da4f18d6,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""56"", ""meta.bpm_drum"": 56.0, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continuous eigth-notes,,,,"Mine is a proud village, such as it is,
We are at our best when dancing."
nootka020,densmore-nootka,0.0.1,Song of the Women Guests,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Young Doctor,male,voice,False,False,True,,,,76,1.0,3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,82,20,,1319,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=134,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__20_Song_of_the_Women_Guests.krn,kern,,86f96d2caeef78aaff5acbcdd2b51543,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""76"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,We have come to see what you have to give away at your potlatch
