id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
pueblo01,densmore-pueblo,0.0.1,Creation or Beginning Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,5,1,,1888,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=17,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Creation_or_Beginning_Song.krn,kern,,ba7a1a770110946aba3137a70e5682da,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo02,densmore-pueblo,0.0.1,First Raingod Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,6,2,,1889,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_First_Raingod_Song.krn,kern,,a6042229e64d1b30685f91e0e0362931,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo03,densmore-pueblo,0.0.1,Song When Setting Up Iatiku's Altar,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,6,3,,1890,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn,kern,,74d69c3cb220989c626e93de0de69b30,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo04,densmore-pueblo,0.0.1,Hunter's Prayer Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,8,4,,1891,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Hunter's_Prayer_Song.krn,kern,,56f5eab03f766c6bdaca7570a5112991,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo05,densmore-pueblo,0.0.1,Song to the Wild Animals,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,8,5,,1892,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_to_the_Wild_Animals.krn,kern,,507e4ef2360cbb5bce205928298f8427,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo06,densmore-pueblo,0.0.1,Song to the Birds,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,9,6,,1893,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=21,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Song_to_the_Birds.krn,kern,,e31c38169704aa8c080528582f50e3ef,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo07,densmore-pueblo,0.0.1,Song When Going for a Drink of Medicine,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,10,7,,1894,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=22,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn,kern,,3bc65ae1607dda8c1ea6bb7e94770904,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo08,densmore-pueblo,0.0.1,"Kasewat, Matted Hair or Wig Song",,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,11,8,,1895,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=23,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn",kern,,50441b583abd70e5bcb5c35636884889,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs""}",,,,,
pueblo09,densmore-pueblo,0.0.1,Song of Brave Man's Dance,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,12,9,,1896,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=24,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_Brave_Man's_Dance.krn,kern,,268fbec846baa75b69bd22c0f47f3d0f,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
pueblo10,densmore-pueblo,0.0.1,Song of Ouwe Dance,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom145,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,1928,1957,densmore1957pueblo,book,Pueblo Music,Frances Densmore,1957,13,10,,1897,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=25,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_of_Ouwe_Dance.krn,kern,,493c26c349bf9afd06583820f92a088a,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/None.krn,,True,True,,"{""file.SUPERFUNCTION"": ""misc"", ""file.SOCIAL_FUNCTION"": ""miscellaneous songs"", ""file.LING_GROUP"": ""Keresan"", ""file.LANG"": ""Tone"", ""file.REG"": ""Southwest""}",,,,,
