id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
t0487,sagrillo-luxembourg,Christlied der Hirten,,Luxemburg,,,,,,,,,religious,,,,,,,G,heptatonic minor,6,,,4/4,,,,,,thill1937singendes,,,,,615,297,,,,Damien Sagrillo,,,,,data/t/t0487.krn,kern,,2ddb60c42d345199200b5401123b1b22,https://kern.humdrum.org/cgi-bin/ksdata?file=t0487.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0487.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[6"", ""rhy1"": ""X_XXX_.X  X_.XX__"", ""rhy2"": ""X_XXX_.X  X_.XX__  0_"", ""key"": ""T0487  08  G 4/4 ]  ZZ[6"", ""kad"": ""3b3b1551"", ""akz"": ""3b-7b13b_3b-7b13b_2121_3b5_3b5_543b11_"", ""fot"": ""'a__a__b__c__c__d__"", ""for"": ""'a__av_b__bw_bw_c__"", ""fok"": ""'V__V__\\__/__/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0488,sagrillo-luxembourg,Maria wollt' auswandern,,Luxemburg,,,,,,,,,religious,,,,,,,G,heptatonic ionian,8,,,4/4,,,,,,thill1937singendes,,,,,616f,298a,,,,Damien Sagrillo,,,,,data/t/t0488.krn,kern,,b8846705eb4fc61679429828aac0dfa1,https://kern.humdrum.org/cgi-bin/ksdata?file=t0488.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0488.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""X_  X_X_X_X_  X_.XX_"", ""rhy2"": ""X_  X_X_XXXX  X_0__"", ""key"": ""T0488  08  G 4/4 ]  ZZ[4"", ""kad"": ""1-551"", ""akz"": ""1231_22-5_125_231_"", ""fot"": ""'a__b__aw_c__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'^a_\\__/__\\__"", ""n7k"": ""14] N7[0] O1[14] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0489,sagrillo-luxembourg,Die heilige Odilchen,,Luxemburg,,,,,,,,,religious,,,,,,,D,octatonic w/o 7,8,,,3/4,,,,,,thill1937singendes,,,,,618,299,,,,Damien Sagrillo,,,,,data/t/t0489.krn,kern,,be5be6682a85c9fdd898609df8b1c7d7,https://kern.humdrum.org/cgi-bin/ksdata?file=t0489.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0489.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[3"", ""rhy1"": ""X_  X__X_  XXX_X_  X__X_  X__0_"", ""rhy2"": ""X__X_  X_.XX_  X_X_X_  X__"", ""key"": ""T0489  08  D 3/4 ]  ZZ[3"", ""kad"": ""53b1"", ""akz"": ""+17b7b5_7b+16b3b_46b2_"", ""fot"": ""'a__b__c__"", ""for"": ""'a__b__c__"", ""fok"": ""'M__\\__^d_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0490,sagrillo-luxembourg,Die ongrische Braut,,Luxemburg,,,,,,,,,religious,,,,,,,E,heptatonic aeolean,7b,,,3/4,,,,,,thill1937singendes,,,,,620,300,,,,Damien Sagrillo,,,,,data/t/t0490.krn,kern,,9621f2978bd6438c205a8f566d89b4b1,https://kern.humdrum.org/cgi-bin/ksdata?file=t0490.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0490.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X  XXX_.X  XXX_0"", ""rhy2"": ""X  XXX_.X  XXX_0"", ""key"": ""T0490  08  E 3/4 ]  ZZ[4"", ""kad"": ""5151"", ""akz"": ""3b3b_6b3b_3b3b_6b3b_"", ""fot"": ""'a__b__a__b__"", ""for"": ""'a__a__a__a__"", ""fok"": ""'Va_^d_Va_^d_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0491,sagrillo-luxembourg,Letzter Wille,,Luxemburg,,,,,,,,,religious,,,,,,,G,pentatonic major,8,,,6/8,,,,,,thill1937singendes,,,,,623,301,,,,Damien Sagrillo,,,,,data/t/t0491.krn,kern,,45f5a3fadb75391adbb834e1ff8f82f9,https://kern.humdrum.org/cgi-bin/ksdata?file=t0491.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0491.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""6/8 ]  ZZ[4"", ""rhy1"": ""X_XXXX  X_XX_0"", ""rhy2"": ""X_XXXX  X_.X_"", ""key"": ""T0491  08  G 6/8 ]  ZZ[4"", ""kad"": ""3331"", ""akz"": ""1323_1323_3543_1321_"", ""fot"": ""'a__av_as\""aw_"", ""for"": ""'a__b__c__d__"", ""fok"": ""'~a_~a_^__^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0492,sagrillo-luxembourg,Hubertuslied,,Luxemburg,,,,,,,,,religious|hunt,,,,,,,G,pentatonic major,8,,,6/8,,,,,,thill1937singendes,,,,,624f,302,,,,Damien Sagrillo,,,,,data/t/t0492.krn,kern,,318b48ce5c6202c0cac33e0cadb2ca0d,https://kern.humdrum.org/cgi-bin/ksdata?file=t0492.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0492.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[5"", ""rhy1"": ""X_  X__X_X_X_X_  X__X_X__   (x2)"", ""rhy2"": ""X_  X_X_X_X_X_X_  X___0"", ""key"": ""T0492  16  G 6/8 ]  ZZ[5"", ""kad"": ""11221"", ""akz"": ""1231_3211_5342321322_5342_3211_"", ""fot"": ""'a__b__as\""as\""b__"", ""for"": ""'a__b__bw_bw_b__"", ""fok"": ""'^a_^d_Md_^d_^d_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0493,sagrillo-luxembourg,St. Hubert,,Luxemburg,,,,,,,,,religious,,,,,,,G,pentatonic major,5,,,6/8,,,,,,thill1937singendes,,,,,626,303,,,,Damien Sagrillo,,,,,data/t/t0493.krn,kern,,fcaa528d8b81a9bf435a7f3553e00313,https://kern.humdrum.org/cgi-bin/ksdata?file=t0493.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0493.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[6"", ""rhy1"": ""X_  X__X_X__X_  X__.   (x2)"", ""rhy2"": ""X__.  X_X_X_X_X_X_  X___0"", ""key"": ""T0493  16  G 6/8 ]  ZZ[6"", ""kad"": ""111122"", ""akz"": ""321_23211_321_23211_3322_3322_"", ""fot"": ""'a__b__a__b__c__cv_"", ""for"": ""'a__b__a__b__c__c__"", ""fok"": ""'\\__^d_\\__^d_^a_^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0494,sagrillo-luxembourg,Die heiligen zwölf Zahlen,,Luxemburg,,,,,,,,,religious,,,,,,,G,pentatonic,4,,,2/4,,,,,,thill1937singendes,,,,,627,304a,,,,Damien Sagrillo,,,,,data/t/t0494.krn,kern,,0035d28d82678fab27d43aa92ad7e2ca,https://kern.humdrum.org/cgi-bin/ksdata?file=t0494.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0494.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[6"", ""rhy1"": ""X_.XX_X_  X_.XX__"", ""rhy2"": ""X_.XX_X_  X_.XX__"", ""key"": ""T0494  16  G 2/4 ]  ZZ[6"", ""kad"": ""111221"", ""akz"": ""33_31_33_34_-7-7_32_"", ""fot"": ""'a__aw_av_b__c__aw_"", ""for"": ""'a__a__b__c__d__e__"", ""fok"": ""'\\__\\__\\__\\__/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0495,sagrillo-luxembourg,Die heiligen zwölf Zahlen,,Luxemburg,,,,,,,,,religious,,,,,,,G,hexatonic minor,6,,,2/4,,,,,,thill1937singendes,,,,,630,304b,,,,Damien Sagrillo,,,,,data/t/t0495.krn,kern,,83db27b23d6d5d8d13151aba45ec28d4,https://kern.humdrum.org/cgi-bin/ksdata?file=t0495.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0495.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[6"", ""rhy1"": ""X_X_X_X_  X_X_X__   (x2)"", ""rhy2"": ""X_X_X_X_  X_X_X__"", ""key"": ""T0495  16  G 2/4 ]  ZZ[6"", ""kad"": ""551551"", ""akz"": ""33_33_62_33_33_62_"", ""fot"": ""'a__a__b__a__av_b__"", ""for"": ""'a__a__b__a__aw_b__"", ""fok"": ""'/__/__\\__/__/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0496,sagrillo-luxembourg,Die heiligen zwölf Zahlen,,Luxemburg,,,,,,,,,religious,,,,,,,G,tetratonic,6,,,2/4,,,,,,thill1937singendes,,,,,631,304c,,,,Damien Sagrillo,,,,,data/t/t0496.krn,kern,,dfae6cecd2e890c678f5ac0889a1a786,https://kern.humdrum.org/cgi-bin/ksdata?file=t0496.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0496.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 ]  ZZ[3"", ""rhy1"": ""XXXX  X_X_"", ""rhy2"": ""XXXX  XXXX"", ""key"": ""T0496  08  G 2/4 ]  ZZ[3"", ""kad"": ""313"", ""akz"": ""55_55_55_"", ""fot"": ""'a__b__a__"", ""for"": ""'a__b__a__"", ""fok"": ""'\\__\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
t0497,sagrillo-luxembourg,Marias Romreise,,Luxemburg,,,,,,,,,religious,,,,,,,A,pentatonic,5,,,6/8,,,,,,thill1937singendes,,,,,631f,305,,,,Damien Sagrillo,,,,,data/t/t0497.krn,kern,,1dea6dd1a89a062131a6990cc78a1759,https://kern.humdrum.org/cgi-bin/ksdata?file=t0497.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/t0497.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[4"", ""rhy1"": ""X_  X__X_X__X_  X_X_X_X__   (x2)"", ""rhy2"": ""X_  X__X_X__X_  X__X_X__X_  X__X_X__X_  X__0_."", ""key"": ""T0497  16  A 6/8 ]  ZZ[4"", ""kad"": ""-7b1-7b1"", ""akz"": ""3b3b3b-7b_3b3b3b13b11_11-7b3b1-7b_3b3b3b21_"", ""fot"": ""'a__aw_b__aw_"", ""for"": ""'a__b__c__d__"", ""fok"": ""'^__^a_^d_^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
